Date,Closing Price,High,Low,Opening Price,Volume,Ticker
01-04-2015,8181.5,8841.650391,8144.75,8483.700195,3108200,^NSEI
01-05-2015,8433.650391,8489.549805,7997.149902,8230.049805,3384800,^NSEI
01-06-2015,8368.5,8467.150391,7940.299805,8417.25,3156900,^NSEI
01-07-2015,8532.849609,8654.75,8315.400391,8376.25,3097900,^NSEI
01-08-2015,7971.299805,8621.549805,7667.25,8510.650391,3939200,^NSEI
01-09-2015,7948.899902,8055,7539.5,7907.950195,3436500,^NSEI
01-10-2015,8065.799805,8336.299805,7930.649902,7992.049805,3364200,^NSEI
01-11-2015,7935.25,8116.100098,7714.149902,8054.549805,2868500,^NSEI
01-12-2015,7946.350098,7979.299805,7551.049805,7958.149902,3026200,^NSEI
01-01-2016,7563.549805,7937.549805,7241.5,7924.549805,3781100,^NSEI
01-02-2016,6987.049805,7600.450195,6825.799805,7589.5,5170500,^NSEI
01-03-2016,7738.399902,7777.600098,7035.100098,7038.25,4809600,^NSEI
01-04-2016,7849.799805,7992,7516.850098,7718.049805,3538800,^NSEI
01-05-2016,8160.100098,8213.599609,7678.350098,7822.700195,4361300,^NSEI
01-06-2016,8287.75,8308.150391,7927.049805,8179.200195,4193500,^NSEI
01-07-2016,8638.5,8674.700195,8287.549805,8313.049805,3321700,^NSEI
01-08-2016,8786.200195,8819.200195,8518.150391,8654.299805,3826100,^NSEI
01-09-2016,8611.150391,8968.700195,8555.200195,8793.599609,3900400,^NSEI
01-10-2016,8638,8806.950195,8506.150391,8666.150391,3165200,^NSEI
01-11-2016,8224.5,8669.599609,7916.399902,8653.150391,4585400,^NSEI
01-12-2016,8185.799805,8274.950195,7893.799805,8244,3118800,^NSEI
01-01-2017,8561.299805,8672.700195,8133.799805,8210.099609,4009100,^NSEI
01-02-2017,8879.599609,8982.150391,8537.5,8570.349609,4398500,^NSEI
01-03-2017,9173.75,9218.400391,8860.099609,8904.400391,4835000,^NSEI
01-04-2017,9304.049805,9367.150391,9075.150391,9220.599609,2931300,^NSEI
01-05-2017,9621.25,9649.599609,9269.900391,9339.849609,4541800,^NSEI
01-06-2017,9520.900391,9709.299805,9448.75,9603.549805,3558000,^NSEI
01-07-2017,10077.09961,10114.84961,9543.549805,9587.950195,3732400,^NSEI
01-08-2017,9917.900391,10137.84961,9685.549805,10101.0498,4168000,^NSEI
01-09-2017,9788.599609,10178.9502,9687.549805,9937.650391,4165300,^NSEI
01-10-2017,10335.2998,10384.5,9831.049805,9893.299805,4500300,^NSEI
01-11-2017,10226.5498,10490.4502,10094,10390.34961,4650900,^NSEI
01-12-2017,10530.7002,10552.40039,10033.34961,10263.7002,3504400,^NSEI
01-01-2018,11027.7002,11171.5498,10404.65039,10477.5498,4560600,^NSEI
01-02-2018,10492.84961,11117.34961,10276.2998,11044.5498,4389900,^NSEI
01-03-2018,10113.7002,10525.5,9951.900391,10479.9502,4389100,^NSEI
01-04-2018,10739.34961,10759,10111.2998,10151.65039,4499400,^NSEI
01-05-2018,10736.15039,10929.2002,10417.7998,10783.84961,5142500,^NSEI
01-06-2018,10714.2998,10893.25,10550.90039,10738.4502,4683800,^NSEI
01-07-2018,11356.5,11366,10604.65039,10732.34961,4648500,^NSEI
01-08-2018,11680.5,11760.2002,11234.9502,11359.7998,4923000,^NSEI
01-09-2018,10930.4502,11751.7998,10850.2998,11751.7998,5151800,^NSEI
01-10-2018,10386.59961,11035.65039,10004.5498,10930.90039,7030800,^NSEI
01-11-2018,10876.75,10922.4502,10341.90039,10441.7002,5318400,^NSEI
01-12-2018,10862.5498,10985.15039,10333.84961,10930.7002,6533100,^NSEI
01-01-2019,10830.9502,10987.4502,10583.65039,10868.84961,7273800,^NSEI
01-02-2019,10792.5,11118.09961,10585.65039,10851.34961,7461400,^NSEI
01-03-2019,11623.90039,11630.34961,10817,10842.65039,6857200,^NSEI
01-04-2019,11748.15039,11856.15039,11549.09961,11665.2002,6516900,^NSEI
01-05-2019,11922.7998,12041.15039,11108.2998,11725.5498,8645600,^NSEI
01-06-2019,11788.84961,12103.0498,11625.09961,11953.75,6788000,^NSEI
01-07-2019,11118,11981.75,10999.40039,11839.90039,9988500,^NSEI
01-08-2019,11023.25,11181.4502,10637.15039,11060.2002,11153100,^NSEI
01-09-2019,11474.4502,11694.84961,10670.25,10960.9502,12210000,^NSEI
01-10-2019,11877.4502,11945,11090.15039,11515.40039,15461000,^NSEI
01-11-2019,12056.0498,12158.7998,11802.65039,11886.59961,13178000,^NSEI
01-12-2019,12168.4502,12293.90039,11832.2998,12137.0498,12549800,^NSEI
01-01-2020,11962.09961,12430.5,11929.59961,12202.15039,10965400,^NSEI
01-02-2020,11201.75,12246.7002,11175.0498,11627.4502,10198200,^NSEI
01-03-2020,8597.75,11433,7511.100098,11387.34961,21303000,^NSEI
01-04-2020,9859.900391,9889.049805,8055.799805,8584.099609,12736300,^NSEI
01-05-2020,9580.299805,9598.849609,8806.75,9533.5,13675900,^NSEI
01-06-2020,10302.09961,10553.15039,9544.349609,9726.849609,16778800,^NSEI
01-07-2020,11073.4502,11341.40039,10299.59961,10323.7998,14640200,^NSEI
01-08-2020,11387.5,11794.25,10882.25,11057.5498,14035500,^NSEI
01-09-2020,11247.5498,11618.09961,10790.2002,11464.2998,12928400,^NSEI
01-10-2020,11642.40039,12025.4502,11347.0498,11364.4502,11602500,^NSEI
01-11-2020,12968.9502,13145.84961,11557.40039,11697.34961,13004600,^NSEI
01-12-2020,13981.75,14024.84961,12962.7998,13062.2002,12077600,^NSEI
01-01-2021,13634.59961,14753.5498,13596.75,13996.09961,13119900,^NSEI
01-02-2021,14529.15039,15431.75,13661.75,13758.59961,14313900,^NSEI
01-03-2021,14690.7002,15336.2998,14264.40039,14702.5,9886800,^NSEI
01-04-2021,14631.09961,15044.34961,14151.40039,14798.40039,9344700,^NSEI
01-05-2021,15582.7998,15606.34961,14416.25,14481.0498,9859900,^NSEI
01-06-2021,15721.5,15915.65039,15450.90039,15629.65039,8079100,^NSEI
01-07-2021,15763.0498,15962.25,15513.4502,15755.0498,5756800,^NSEI
01-08-2021,17132.19922,17153.5,15834.65039,15874.90039,6349900,^NSEI
01-09-2021,17618.15039,17947.65039,17055.05078,17185.59961,6955600,^NSEI
01-10-2021,17671.65039,18604.44922,17452.90039,17531.90039,7651200,^NSEI
01-11-2021,16983.19922,18210.15039,16782.40039,17783.15039,5853100,^NSEI
01-12-2021,17354.05078,17639.5,16410.19922,17104.40039,5499300,^NSEI
01-01-2022,17339.84961,18350.94922,16836.80078,17387.15039,5435500,^NSEI
01-02-2022,16793.90039,17794.59961,16203.25,17529.44922,5620100,^NSEI
01-03-2022,17464.75,17559.80078,15671.4502,16593.09961,7959500,^NSEI
01-04-2022,17102.55078,18114.65039,16824.69922,17436.90039,5658100,^NSEI
01-05-2022,16584.55078,17132.84961,15735.75,16924.44922,6343200,^NSEI
01-06-2022,15780.25,16793.84961,15183.40039,16594.40039,5514100,^NSEI
01-07-2022,17158.25,17172.80078,15511.0498,15703.7002,5475300,^NSEI
01-08-2022,17759.30078,17992.19922,17154.80078,17243.19922,5589500,^NSEI
01-09-2022,17094.34961,18096.15039,16747.69922,17485.69922,6896300,^NSEI
01-10-2022,18012.19922,18022.80078,16855.55078,17102.09961,4539900,^NSEI
01-11-2022,18758.34961,18816.05078,17959.19922,18130.69922,5257200,^NSEI
01-12-2022,18105.30078,18887.59961,17774.25,18871.94922,4741600,^NSEI
01-01-2023,17662.15039,18251.94922,17405.55078,18131.69922,5632700,^NSEI
01-02-2023,17303.94922,18134.75,17255.19922,17811.59961,5685600,^NSEI
01-03-2023,17359.75,17799.94922,16828.34961,17360.09961,5622200,^NSEI
01-04-2023,18065,18089.15039,17312.75,17427.94922,4459800,^NSEI
01-05-2023,18534.40039,18662.44922,18042.40039,18124.80078,5737500,^NSEI
01-06-2023,19189.05078,19201.69922,18464.55078,18579.40039,5144400,^NSEI
01-07-2023,19753.80078,19991.84961,19234.40039,19246.5,5802500,^NSEI
01-08-2023,19253.80078,19795.59961,19223.65039,19784,6027500,^NSEI
01-09-2023,19638.30078,20222.44922,19255.69922,19258.15039,5666500,^NSEI
01-10-2023,19079.59961,19849.75,18837.84961,19622.40039,4248400,^NSEI
01-11-2023,20133.15039,20158.69922,18973.69922,19064.05078,4386100,^NSEI
01-12-2023,21731.40039,21801.44922,20183.69922,20194.09961,6121400,^NSEI
01-01-2024,21725.69922,22124.15039,21137.19922,21727.75,6824400,^NSEI
01-02-2024,21982.80078,22297.5,21530.19922,21780.65039,6728200,^NSEI
01-03-2024,22326.90039,22526.59961,21710.19922,22048.30078,6700100,^NSEI
01-04-2024,22604.84961,22783.34961,21777.65039,22455,6034000,^NSEI
01-05-2024,22530.69922,23110.80078,21821.05078,22567.84961,6691400,^NSEI
01-06-2024,24010.59961,24174,21281.44922,23337.90039,7751100,^NSEI
01-07-2024,24951.15039,24999.75,23992.69922,23992.94922,6250600,^NSEI
01-08-2024,25235.90039,25268.34961,23893.69922,25030.94922,6327000,^NSEI
01-09-2024,25810.84961,26277.34961,24753.15039,25333.59961,6162500,^NSEI
01-10-2024,24205.34961,25907.59961,24073.90039,25788.44922,6328000,^NSEI
01-11-2024,24131.09961,24537.59961,23263.15039,24302.75,5887700,^NSEI
01-12-2024,23644.80078,24857.75,23460.44922,24140.84961,5450800,^NSEI
01-01-2025,23508.40039,24226.69922,22786.90039,23637.65039,6458100,^NSEI
01-02-2025,22124.69922,23807.30078,22104.84961,23319.34961,5364300,^NSEI
01-03-2025,23519.34961,23869.59961,21964.59961,22194.55078,6239300,^NSEI
